2020-11-30 09:36:04,244 [RMI TCP Connection(3)-192.168.1.214] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java : 173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-30 09:36:04,245 [RMI TCP Connection(3)-192.168.1.214] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java : 525] - Initializing Servlet 'dispatcherServlet'
2020-11-30 09:36:04,259 [RMI TCP Connection(3)-192.168.1.214] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java : 547] - Completed initialization in 13 ms
2020-11-30 09:36:04,912 [main] INFO  c.e.clientb.EurekaClientApplicationB [SpringApplication.java : 651] - No active profile set, falling back to default profiles: default
2020-11-30 09:36:05,861 [main] WARN  o.s.boot.actuate.endpoint.EndpointId [EndpointId.java : 155] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-11-30 09:36:06,034 [main] INFO  o.s.cloud.context.scope.GenericScope [GenericScope.java : 295] - BeanFactory id=0343a4e5-0530-3bed-97b4-ea492924fc92
2020-11-30 09:36:06,440 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 91] - Tomcat initialized with port(s): 8802 (http)
2020-11-30 09:36:06,453 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java : 173] - Initializing ProtocolHandler ["http-nio-8802"]
2020-11-30 09:36:06,454 [main] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java : 173] - Starting service [Tomcat]
2020-11-30 09:36:06,454 [main] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java : 173] - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-11-30 09:36:06,658 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java : 173] - Initializing Spring embedded WebApplicationContext
2020-11-30 09:36:06,659 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java : 283] - Root WebApplicationContext: initialization completed in 1724 ms
2020-11-30 09:36:06,761 [main] WARN  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 121] - No URLs will be polled as dynamic configuration sources.
2020-11-30 09:36:06,761 [main] INFO  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 09:36:06,774 [main] INFO  c.n.config.DynamicPropertyFactory [DynamicPropertyFactory.java : 281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@ee8e7ff
2020-11-30 09:36:06,923 [main] WARN  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 121] - No URLs will be polled as dynamic configuration sources.
2020-11-30 09:36:06,923 [main] INFO  c.n.c.sources.URLConfigurationSource [URLConfigurationSource.java : 122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-30 09:36:07,268 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [ExecutorConfigurationSupport.java : 181] - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-30 09:36:08,066 [main] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration [DiscoveryClientOptionalArgsConfiguration.java : 78] - Eureka HTTP Client uses Jersey
2020-11-30 09:36:08,101 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger [BlockingLoadBalancerClientAutoConfiguration.java : 108] - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-11-30 09:36:08,150 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [EndpointLinksResolver.java : 58] - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-11-30 09:36:08,261 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory [InstanceInfoFactory.java : 72] - Setting initial instance status as: STARTING
2020-11-30 09:36:08,306 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 372] - Initializing Eureka in region us-east-1
2020-11-30 09:36:08,597 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 70] - Using JSON encoding codec LegacyJacksonJson
2020-11-30 09:36:08,598 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 71] - Using JSON decoding codec LegacyJacksonJson
2020-11-30 09:36:08,752 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 80] - Using XML encoding codec XStreamXml
2020-11-30 09:36:08,752 [main] INFO  c.n.d.p.DiscoveryJerseyProvider [DiscoveryJerseyProvider.java : 81] - Using XML decoding codec XStreamXml
2020-11-30 09:36:09,105 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver [ConfigClusterResolver.java : 43] - Resolving eureka endpoints via configuration
2020-11-30 09:36:09,163 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1007] - Disable delta property : false
2020-11-30 09:36:09,163 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1008] - Single vip registry refresh property : null
2020-11-30 09:36:09,163 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1009] - Force full registry fetch : false
2020-11-30 09:36:09,164 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1010] - Application is null : false
